movie_id,movie_title,book_title,imdb_no,usable,isbn,oclc,imdb_title,imdb_actors,imdb_writers,imdb_genres,imdb_year,imdb_rated,imdb_released,imdb_runtime,imdb_imdbrating,imdb_imdbvotes,metadata_updated,book_id,budget,gross_usa,cumulative_worldwide_gross,opening_weekend_usa
m__185812519_tt0461472,Boy called Twist,Oliver Twist,tt0461472,True,,185812519,Boy Called Twist,"['jarrid geduld', 'lesley fong', 'bart fouche', 'bill curry']","['charles dickens', 'tim greene']",['drama'],2004,N/A,16 Jun 2006,115 min,7.0,145,True,b__185812519,N/A,,,
m__20156268_tt0145600,Brave New World (1998 film),Brave New World,tt0145600,True,,20156268,Brave New World,"['peter gallagher', 'leonard nimoy', 'tim guinee', 'rya kihlstedt']","['aldous huxley', 'dan mazur', 'david tausik']","['drama', 'sci-fi']",1998,N/A,19 Apr 1998,87 min,5.3,"1,763",True,b__20156268,,,,
m__38659585_tt0361411,Bride and Prejudice,Pride and Prejudice,tt0361411,True,,38659585,Bride & Prejudice,"['aishwarya rai bachchan', 'martin henderson', 'nadira babbar', 'anupam kher']","['jane austen', 'paul mayeda berges', 'gurinder chadha']","['comedy', 'drama', 'musical', 'romance']",2004,PG-13,11 Mar 2005,122 min,6.2,"19,027",True,b__38659585,7000000,6601079,,385848
m_0690013590_2818232_tt0088853,Bridge to Terabithia (1985 film),Bridge to Terabithia (novel),tt0088853,True,0690013590,2818232,Bridge to Terabithia,"[""annette o'toole"", 'julian coutts', 'julie beaulieu', 'gloria carlin']","['katherine paterson', 'nancy sackett']","['drama', 'family', 'fantasy']",1985,N/A,04 Feb 1985,60 min,6.1,547,True,b_0690013590_2818232,,,,
m_0690013590_2818232_tt0398808,Bridge to Terabithia (2007 film),Bridge to Terabithia (novel),tt0398808,True,0690013590,2818232,Bridge to Terabithia,"['josh hutcherson', 'annasophia robb', 'zooey deschanel', 'robert patrick']","['jeff stockwell', 'david paterson', 'katherine paterson']","['adventure', 'drama', 'family', 'fantasy']",2007,PG,16 Feb 2007,96 min,7.2,"132,243",True,b_0690013590_2818232,17000000,82272442,137587063,28536717
m__28228581_tt1192620,Call of the Wild (2009 film),The Call of the Wild,tt1192620,True,,28228581,Call of the Wild,"['christopher lloyd', 'timothy bottoms', 'bubba', 'veronica cartwright']","['leland douglas', 'jack london']","['adventure', 'drama', 'family']",2009,PG,12 Jun 2009,88 min,5.4,634,True,b__28228581,,28682,270210,10713
m_0449131904__tt0055824,Cape Fear (1962 film),The Executioners (MacDonald novel),tt0055824,True,0449131904,,Cape Fear,"['gregory peck', 'robert mitchum', 'polly bergen', 'lori martin']","['john d. macdonald', 'james r. webb']","['drama', 'thriller']",1962,Not Rated,21 Aug 1962,106 min,7.8,"23,626",True,b_0449131904_,3000000,,,
m_0449131904__tt0101540,Cape Fear (1991 film),The Executioners (MacDonald novel),tt0101540,True,0449131904,,Cape Fear,"['robert de niro', 'nick nolte', 'jessica lange', 'juliette lewis']","['john d. macdonald', 'james r. webb', 'wesley strick']","['crime', 'thriller']",1991,R,15 Nov 1991,128 min,7.3,"153,874",True,b_0449131904_,35000000,79100000,103200000,
m_0854681221__tt0032326,Charlie Chan's Murder Cruise,Charlie Chan Carries On,tt0032326,True,0854681221,,Charlie Chan's Murder Cruise,"['sidney toler', 'marjorie weaver', 'lionel atwill', 'victor sen yung']","['robertson white', 'lester ziffren', 'earl derr biggers']","['comedy', 'crime', 'mystery', 'thriller']",1940,Passed,21 Jun 1940,76 min,7.6,"1,079",True,b_0854681221_,,,,
m__9318922_tt0367594,Charlie and the Chocolate Factory (film),Charlie and the Chocolate Factory,tt0367594,True,,9318922,Charlie and the Chocolate Factory,"['johnny depp', 'freddie highmore', 'david kelly', 'helena bonham carter']","['roald dahl', 'john august']","['adventure', 'comedy', 'family', 'fantasy', 'musical']",2005,PG,15 Jul 2005,115 min,6.6,"390,209",True,b__9318922,150000000,206459076,474968763,56178450
